CENSUS v1 records=6340 census_bytes=2428788736 census_default_heap=2343329792 census_upload_readback=85458944 d3d12ma_allocated=2428788736 d3d12ma_blocks=2610561024 driver_usage=2983800832 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=47 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=38 pso_compile_ms=13.3 pso_compile_max_ms=1.0 d3d12ma_allocated_video=2343329792 d3d12ma_blocks_video=2463760384
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/jungletree4_branches_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree5b_BB_SF_0.6_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree6b_BB_SF_0.75_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/course grass_mat1_SF_1.15.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/palm_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/snow pine tall_BB_SF_0.4_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/vine tree large_branches.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/seaweed_BB_SF_0.77_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree4b_BB_SF_0.56_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree4a_BB_SF_1_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/course grass_mat20_SF_1.15.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/jungletree5_branches_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/jungletree6_branches_color.dds"
B 1376256 1370368 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 1114112 1061376 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 1114112 1058832 0 0 0 0 0 - 0x48 0x8 0 0 ""
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 512 512 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "renderTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 4096 64 1 1 1 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "imageTex"
T 1048576 1024 1024 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "imageTex"
